Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,225.000000,226.690002,223.839996,224.309998,224.309998,24907800
2021-04-07,224.229996,224.369995,219.940002,220.690002,220.690002,26233700
2021-04-08,221.839996,222.820007,219.389999,222.559998,222.559998,23989400
2021-04-09,222.490005,223.089996,221.240005,222.589996,222.589996,23254200
2021-04-12,222.720001,222.929993,220.399994,221.720001,221.720001,20533900
2021-04-13,221.479996,222.570007,218.830002,221.139999,221.139999,24608400
2021-04-14,221.869995,226.000000,221.800003,223.320007,223.320007,27362000
2021-04-15,225.089996,225.119995,222.259995,224.289993,224.289993,20587300
2021-04-16,225.399994,225.679993,223.009995,224.649994,224.649994,23287300
2021-04-19,223.710007,224.660004,219.940002,221.729996,221.729996,25285900
2021-04-20,220.770004,221.619995,215.240005,217.190002,217.190002,35570800
2021-04-21,217.020004,222.619995,215.500000,222.500000,222.500000,31147800
2021-04-22,223.259995,225.330002,220.779999,221.580002,221.580002,31943700
2021-04-23,222.820007,226.649994,222.020004,225.759995,225.759995,27999500
2021-04-26,227.000000,228.690002,226.750000,228.110001,228.110001,19069200
2021-04-27,228.710007,229.389999,227.509995,228.449997,228.449997,19648100
2021-04-28,228.080002,229.490005,227.100006,228.839996,228.839996,16222700
2021-04-29,230.850006,230.949997,225.789993,227.990005,227.990005,25469200
2021-04-30,225.720001,227.800003,224.369995,224.899994,224.899994,15231748
